WERKS,EQUNR,EMATN,DATAB,DATBI,MAABC,MENGE,LEADTIME,cut_date,operate_day,k,demand_peryear,Anper
D601,D2-B-2604-K1,6052983,2017-04-04,2099-12-31,B,1.0,274.0,2021-12-31,1732,5.0,0.2,PKT
D601,D2-B-2604-K1,6053069,2017-04-04,2099-12-31,B,1.0,499.5,2021-12-31,1732,5.0,0.2,PKT
D601,D2-B-2605-K1,6002188,2017-04-04,2099-12-31,B,1.0,364.0,2021-12-31,1732,5.0,0.2,PKT
D601,DL-8501-NB2,6002188,2020-04-28,2099-12-31,B,4.0,364.0,2021-12-31,612,2.0,2.0,PKT
D601,D2-B-2605-K1,6032165,2017-04-04,2099-12-31,B,24.0,252.0,2021-12-31,1732,5.0,4.8,PKT
D601,D2-B-2605-K1,6056761,2017-04-04,2099-12-31,B,1.0,280.3333333333333,2021-12-31,1732,5.0,0.2,PKT
D601,D2-B-2609-K1,6056761,2017-04-04,2099-12-31,B,1.0,280.3333333333333,2021-12-31,1732,5.0,0.2,PKT
D601,D2-B-2607-K1,6012573,2017-04-04,2099-12-31,B,3.0,153.0,2021-12-31,1732,5.0,0.6,PKT
D601,D2-B-2607-K1,6032077,2017-04-04,2099-12-31,C,2.0,479.0,2021-12-31,1732,5.0,0.4,PKT
D601,D2-B-2607-K1,6035004,2017-04-04,2099-12-31,B,5.0,177.0,2021-12-31,1732,5.0,1.0,PKT
D601,D2-B-2607-K1,6037536,2017-04-04,2099-12-31,B,40.0,568.0,2021-12-31,1732,5.0,8.0,PKT
D601,D2-B-2609-K1,6002196,2017-04-04,2099-12-31,B,2.0,249.5,2021-12-31,1732,5.0,0.4,PKT
D601,D2-B-2609-K1,6035005,2017-04-04,2099-12-31,B,2.0,110.0,2021-12-31,1732,5.0,0.4,PKT
D601,D2-B-2609-K1,6043794,2017-04-04,2099-12-31,B,2.0,99.0,2021-12-31,1732,5.0,0.4,PKT
D601,D2822-V-P6,6043794,2017-05-26,2099-12-31,B,2.0,99.0,2021-12-31,1680,5.0,0.4,PKT
D601,D2-B-2609-K1,6044227,2017-04-04,2099-12-31,B,2.0,291.0,2021-12-31,1732,5.0,0.4,PKT
D601,D2-B-2609-K1,6049599,2017-04-04,2099-12-31,B,1.0,168.0,2021-12-31,1732,5.0,0.2,PKT
D601,D2-B-2609-K1,6178522,2017-04-04,2099-12-31,B,4.0,74.66666666666667,2021-12-31,1732,5.0,0.8,PKT
D601,DL-0101E-NF,6178522,2020-04-28,2099-12-31,B,2.0,74.66666666666667,2021-12-31,612,2.0,1.0,PKT
D601,DL-0101F-NF,6178522,2020-04-28,2099-12-31,B,6.0,74.66666666666667,2021-12-31,612,2.0,3.0,PKT
D601,DL-0201-NF,6178522,2020-04-28,2099-12-31,B,6.0,74.66666666666667,2021-12-31,612,2.0,3.0,PKT
D601,D2-E-2607-K1,6049393,2017-04-04,2099-12-31,B,1.0,401.0,2021-12-31,1732,5.0,0.2,PKT
D601,D2-E-2607-K1,6061206,2017-04-04,2099-12-31,B,1.0,365.5,2021-12-31,1732,5.0,0.2,PKT
D601,D2-E-802-K4,6009196,2017-10-12,2099-12-31,B,4.0,179.0,2021-12-31,1541,4.0,1.0,PKT
D601,D2-E-802-K4,6056271,2017-10-12,2099-12-31,B,4.0,386.0,2021-12-31,1541,4.0,1.0,PKT
D601,D2-G-1401B-K1,6035420,2017-04-04,2099-12-31,B,1.0,101.0,2021-12-31,1732,5.0,0.2,PKT
D601,D2-G-1401B-K1,6168109,2017-04-04,2099-12-31,B,1.0,200.0,2021-12-31,1732,5.0,0.2,PKT
D601,D2-G-2602-K1,6001253,2017-04-04,2099-12-31,B,2.0,122.5,2021-12-31,1732,5.0,0.4,PKT
D601,D2-G-2602-K1,6016238,2017-04-04,2099-12-31,B,4.0,185.0,2021-12-31,1732,5.0,0.8,PKT
D601,D2-G-2602-K1,6016296,2017-04-04,2099-12-31,B,4.0,336.0,2021-12-31,1732,5.0,0.8,PKT
D601,DP2-K-102-LP-K1A,6016296,2019-01-31,2099-12-31,B,1.0,336.0,2021-12-31,1065,3.0,0.3333333333333333,PKT
D601,D2-G-2602-K1,6021732,2017-04-04,2099-12-31,B,2.0,126.0,2021-12-31,1732,5.0,0.4,PKT
D601,DP21-L-102-K1A,6021732,2019-01-31,2099-12-31,B,8.0,126.0,2021-12-31,1065,3.0,2.6666666666666665,PKT
